Player,Pos,Team,Starts,Age,MP,90s,Min,Gls,Ast,G+A,PK,G+A_90,G+A-PK_90
Youssef Chermiti,FW,Everton,1,19,18,2.3,208,0,0,0,0,0,0
Adama Traoré,"FW,MF",Fulham,1,27,17,4.2,377,2,3,5,0,1.19,1.19
Aleksandar Mitrović,FW,Fulham,0,28,1,0.4,33,0,0,0,0,0,0
Alex Iwobi,"FW,MF",Fulham,25,27,30,24.4,2192,5,2,7,0,0.29,0.29
Andreas Pereira,MF,Fulham,34,27,37,29,2613,3,7,10,0,0.34,0.34
Antonee Robinson,DF,Fulham,37,25,37,36.3,3265,0,6,6,0,0.17,0.17
Armando Broja,FW,Fulham,0,21,8,1,88,0,1,1,0,1.02,1.02
Bernd Leno,GK,Fulham,38,31,38,38,3420,0,0,0,0,0,0
Bobby Reid,FW,Fulham,17,30,33,15.8,1423,6,2,8,0,0.51,0.51
Calvin Bassey,DF,Fulham,25,23,29,25.6,2303,1,0,1,0,0.04,0.04
Carlos Vinícius,FW,Fulham,2,28,13,3.5,315,2,0,2,0,0.57,0.57
Fodé Ballo-Touré,"DF,MF",Fulham,0,26,6,0.8,71,0,0,0,0,0,0
Harrison Reed,MF,Fulham,15,28,27,14.7,1325,0,2,2,0,0.14,0.14
Harry Wilson,FW,Fulham,16,26,35,18,1620,4,6,10,0,0.56,0.56
Issa Diop,DF,Fulham,16,26,18,15.8,1424,0,0,0,0,0,0
João Palhinha,MF,Fulham,31,28,33,30,2699,4,1,5,0,0.17,0.17
Kenny Tete,DF,Fulham,10,27,14,9.6,867,1,0,1,0,0.1,0.1
Luke Harris,MF,Fulham,0,18,1,0.8,75,0,0,0,0,0,0
Raúl Jiménez,FW,Fulham,18,32,24,15.5,1395,7,0,7,0,0.45,0.45
Rodrigo Muniz,FW,Fulham,18,22,26,17.7,1593,9,1,10,0,0.56,0.56
Saša Lukić,MF,Fulham,13,26,24,12.5,1122,1,0,1,0,0.08,0.08
Tim Ream,DF,Fulham,17,35,18,16.7,1503,1,0,1,0,0.06,0.06
Timothy Castagne,DF,Fulham,29,27,34,29.3,2634,1,3,4,0,0.14,0.14
Tom Cairney,MF,Fulham,14,32,34,16.5,1488,1,4,5,0,0.3,0.3
Tosin Adarabioyo,DF,Fulham,18,25,20,18,1617,2,0,2,0,0.11,0.11
Willian,FW,Fulham,24,34,31,22.8,2053,4,2,6,2,0.26,0.18
Alexis Mac Allister,MF,Liverpool,31,24,33,28.9,2599,5,5,10,1,0.35,0.31
Alisson,GK,Liverpool,28,30,28,28,2520,0,0,0,0,0,0
Andrew Robertson,DF,Liverpool,18,29,23,18.8,1693,3,2,5,0,0.27,0.27
Ben Doak,FW,Liverpool,0,17,1,0.2,14,0,0,0,0,0,0
Bobby Clark,MF,Liverpool,1,18,5,1,89,0,0,0,0,0,0
Caoimhín Kelleher,GK,Liverpool,10,24,10,10,900,0,0,0,0,0,0
Cody Gakpo,"FW,MF",Liverpool,17,24,35,18.3,1649,8,5,13,0,0.71,0.71
Conor Bradley,DF,Liverpool,10,20,11,8.4,753,1,3,4,0,0.48,0.48
Curtis Jones,MF,Liverpool,14,22,23,13,1167,1,1,2,0,0.15,0.15
Darwin Núñez,FW,Liverpool,22,24,36,22.7,2047,11,8,19,0,0.84,0.84
Diogo Jota,FW,Liverpool,14,26,21,12.7,1145,10,3,13,0,1.02,1.02
Dominik Szoboszlai,MF,Liverpool,25,22,33,23.4,2104,3,2,5,0,0.21,0.21
Harvey Elliott,"MF,FW",Liverpool,11,20,34,15,1352,3,6,9,0,0.6,0.6
Ibrahima Konaté,DF,Liverpool,17,24,22,17.5,1574,0,0,0,0,0,0
James McConnell,MF,Liverpool,0,18,3,0,4,0,0,0,0,0,0
Jarell Quansah,DF,Liverpool,13,20,17,13.2,1190,2,0,2,0,0.15,0.15
Jayden Danns,FW,Liverpool,0,17,2,0.1,9,0,0,0,0,0,0
Joe Gomez,DF,Liverpool,17,26,32,19.8,1786,0,1,1,0,0.05,0.05
Joël Matip,DF,Liverpool,9,31,10,8.7,781,0,0,0,0,0,0
Kaide Gordon,FW,Liverpool,0,18,1,0,1,0,0,0,0,0,0
Kostas Tsimikas,DF,Liverpool,8,27,13,7.5,679,0,3,3,0,0.4,0.4
Luis Díaz,FW,Liverpool,32,26,37,29.2,2629,8,5,13,0,0.45,0.45
Mohamed Salah,FW,Liverpool,28,31,32,28.2,2534,18,10,28,5,0.99,0.82
Owen Beck,DF,Liverpool,0,20,1,0.1,8,0,0,0,0,0,0
Ryan Gravenberch,MF,Liverpool,12,21,26,12.5,1121,1,0,1,0,0.08,0.08
Stefan Bajcetic,MF,Liverpool,0,18,1,0.3,26,0,0,0,0,0,0
Thiago Alcántara,MF,Liverpool,0,32,1,0.1,6,0,0,0,0,0,0
Trent Alexander-Arnold,DF,Liverpool,25,24,28,23.9,2155,3,4,7,0,0.29,0.29
Virgil van Dijk,DF,Liverpool,36,32,36,35.3,3177,2,2,4,0,0.11,0.11
Wataru Endo,MF,Liverpool,20,30,29,19.1,1722,1,0,1,0,0.05,0.05
Albert Sambi Lokonga,MF,Luton Town,16,23,17,14.5,1303,1,3,4,0,0.28,0.28
Alfie Doughty,DF,Luton Town,34,23,37,32.5,2925,2,8,10,0,0.31,0.31
Amari'i Bell,DF,Luton Town,21,29,21,19.1,1720,0,0,0,0,0,0
Andros Townsend,"MF,FW",Luton Town,14,32,27,13.4,1210,1,3,4,0,0.3,0.3
Carlton Morris,"FW,MF",Luton Town,32,27,38,31.8,2862,11,4,15,5,0.47,0.31
Cauley Woodrow,"FW,MF",Luton Town,2,28,24,4.7,427,1,1,2,0,0.42,0.42
Chiedozie Ogbene,"MF,DF",Luton Town,20,26,30,22.2,1995,4,1,5,0,0.23,0.23
Daiki Hashioka,DF,Luton Town,6,24,10,6.6,595,0,0,0,0,0,0
Elijah Adebayo,FW,Luton Town,16,25,27,15.8,1419,10,0,10,0,0.63,0.63
